result,more,more-href
"427730",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=27"
"370240",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=21"
"426321",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=20"
"",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=5"
"353830",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=34"
"231430,231479,231480,260290,287370,287371,317850,365820",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=12"
"598330",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=2"
"314580,238300,238301,238302,238303,238304,247290,247291,247292,247293,247294,247295,247297,247298,247299,247300,206420,247301,247302,247303,247304,247305,247306,247307,247308,247309,255050,266730",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=31"
"411830",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=17"
"2600",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=35"
"260230",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=31"
"363360",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=41"
"591700",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=32"
"9340",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=39"
"322770",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=29"
"212630",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=29"
"275850",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=8"
"466860",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=9"
"393010",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=18"
"536610",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=30"
"318530",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=38"
"343780",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=13"
"274920",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=14"
"219740,282470,393010",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=21"
"306760",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=2"
"501620",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=37"
"405170",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=40"
"4760",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=25"
"102500,102510,102511,204600",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=32"
"223100",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=26"
"394690",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=11"
"438690",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=24"
"304400",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=10"
"524330",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=35"
"233860",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=37"
"361420",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=4"
"301610",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=25"
"571740",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=15"
"441340",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=6"
"315396",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=32"
"402710",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=8"
"39140",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=24"
"591710",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=21"
"",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=10"
"416420",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=36"
"47898",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=27"
"42960,42964,42965,42966,42968,42980,215000,215001,215002,215003,215004",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=33"
"42700",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=17"
"404012",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=7"
"377840",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=24"
"17470,47780",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=33"
"20920",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=19"
"319910",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=22"
"540711",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=26"
"",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=22"
"",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=13"
"282470",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=22"
"221040",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=17"
"325724",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=34"
"285330,2700,285310",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=41"
"404014",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=9"
"474740",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=8"
"350272",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=33"
"620",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=6"
"201790",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=32"
"394320",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=17"
"213198",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=21"
"393420",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=10"
"270880",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=10"
"262060",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=8"
"332500",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=33"
"489180",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=30"
"218680",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=5"
"257350",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=27"
"581230",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=31"
"257750",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=25"
"255220",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=33"
"286690,287390",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=28"
"4700,4760,10500,10600,10604,10606,10607,10608,34030,34174,34178,34179,38185,34330,34342,34345,34348,201277,201279,223180,201271,201273,201274,201275,201276,211160,34343",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=34"
"371660",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=29"
"346010",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=9"
"433340",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=5"
"561470",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=40"
"524110",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=22"
"266410",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=11"
"379560,379561,379562",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=36"
"477770",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=19"
"322170",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=15"
"393380",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=7"
"588190",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=26"
"219990",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=5"
"583270",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=29"
"460930","",""
"549840",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=26"
"411370",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=37"
"327030",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=14"
"314160",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=6"
"339580",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=28"
"496300",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=34"
"291650",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=13"
"219150",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=35"
"377530",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=15"
"299740",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=7"
"386940",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=18"
"392110",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=8"
"502800","",""
"466560",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=3"
"",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=16"
"269170",">","http://store.steampowered.com/search/?sort_by=&sort_order=0&special_categories=&filter=topsellers&page=34"
