title,description,release,summary,tags
"Homeworld Remastered Collection","Experience the epic space strategy games that redefined the RTS genre. Control your fleet and build an armada across more than 30 single-player missions. Choose unit types, fleet formations and flight tactics for each strategic situation.","Released: 25 Feb, 2015","Overall user reviews:
			Very Positive
						(4,462 reviews)","[{""tags"":""Space""},{""tags"":""Strategy""},{""tags"":""RTS""},{""tags"":""Sci-fi""},{""tags"":""Classic""},{""tags"":""Great Soundtrack""},{""tags"":""Story Rich""},{""tags"":""Remake""},{""tags"":""Atmospheric""},{""tags"":""Multiplayer""},{""tags"":""Simulation""},{""tags"":""Tactical""},{""tags"":""Singleplayer""},{""tags"":""Moddable""},{""tags"":""Action""},{""tags"":""Female Protagonist""},{""tags"":""4X""},{""tags"":""Adventure""},{""tags"":""Futuristic""},{""tags"":""Survival""}]"
"Civilization VI - Poland Civilization & Scenario Pack","Jadwiga rules Poland in Sid Meier's Civilization VI! Religious and expansionist, Poland can gain control of other civ's tiles when they fortify their borders, and Jadwiga makes Relics more valuable and Holy Sites more effective.","Released: 20 Dec, 2016","Overall user reviews:
			Mostly Negative
						(599 reviews)","[{""tags"":""Strategy""}]"
"Batman: Arkham Asylum Game of the Year Edition","Experience what it’s like to be Batman and face off against Gotham's greatest villians. Explore every inch of Arkham Asylum and roam freely on the infamous island.","Released: 26 Mar, 2010","Overall user reviews:
			Overwhelmingly Positive
						(8,980 reviews)","[{""tags"":""Action""},{""tags"":""Batman""},{""tags"":""Stealth""},{""tags"":""Adventure""},{""tags"":""Third Person""},{""tags"":""Superhero""},{""tags"":""Singleplayer""},{""tags"":""Beat 'em up""},{""tags"":""Open World""},{""tags"":""Comic Book""},{""tags"":""Detective""},{""tags"":""Atmospheric""},{""tags"":""Story Rich""},{""tags"":""Fighting""},{""tags"":""Action-Adventure""},{""tags"":""Controller""},{""tags"":""Metroidvania""},{""tags"":""3D Vision""},{""tags"":""Puzzle""},{""tags"":""Horror""}]"
"I am Setsuna","Inspired by the timeless classic Chrono Trigger, I am Setsuna is a great homage to the JRPG masterpieces of yesteryear. Journey with Setsuna as she prepares to make the ultimate sacrifice and save the people of her land.","Released: 19 Jul, 2016","Overall user reviews:
			Mostly Positive
						(604 reviews)","[{""tags"":""JRPG""},{""tags"":""RPG""},{""tags"":""Anime""},{""tags"":""Turn-Based Combat""},{""tags"":""Great Soundtrack""},{""tags"":""Story Rich""},{""tags"":""Fantasy""},{""tags"":""Singleplayer""}]"
"Portal","Portal™ is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.","Released: 10 Oct, 2007","Overall user reviews:
			Overwhelmingly Positive
						(24,834 reviews)","[{""tags"":""Puzzle""},{""tags"":""First-Person""},{""tags"":""Singleplayer""},{""tags"":""Sci-fi""},{""tags"":""Comedy""},{""tags"":""Female Protagonist""},{""tags"":""Action""},{""tags"":""Funny""},{""tags"":""Platformer""},{""tags"":""FPS""},{""tags"":""Story Rich""},{""tags"":""Short""},{""tags"":""Physics""},{""tags"":""Classic""},{""tags"":""Adventure""},{""tags"":""Science""},{""tags"":""Atmospheric""},{""tags"":""Dark Humor""},{""tags"":""Great Soundtrack""},{""tags"":""Strategy""}]"
"Ultimate Chicken Horse","Ultimate Chicken Horse is a party platformer game where you build the level as you play, placing traps and hazards to screw your friends over, but trying not to screw yourself.","Released: Mar 4, 2016","Overall user reviews:
			Very Positive
						(2,743 reviews)","[{""tags"":""Multiplayer""},{""tags"":""Funny""},{""tags"":""Level Editor""},{""tags"":""Platformer""},{""tags"":""Local Multiplayer""},{""tags"":""4 Player Local""},{""tags"":""Competitive""},{""tags"":""Action""},{""tags"":""Casual""},{""tags"":""Adventure""},{""tags"":""Indie""},{""tags"":""2D""},{""tags"":""Difficult""},{""tags"":""Strategy""},{""tags"":""Great Soundtrack""},{""tags"":""Puzzle""},{""tags"":""Cute""},{""tags"":""Parkour""},{""tags"":""Singleplayer""},{""tags"":""Controller""}]"
"Killing Floor","6-player co-op survival horror at its finest! Free updates, free special events and a ridiculous amount of fun!","Released: 14 May, 2009","Overall user reviews:
			Overwhelmingly Positive
						(31,781 reviews)","[{""tags"":""FPS""},{""tags"":""Zombies""},{""tags"":""Co-op""},{""tags"":""Survival""},{""tags"":""Action""},{""tags"":""Horror""},{""tags"":""Multiplayer""},{""tags"":""Online Co-Op""},{""tags"":""Shooter""},{""tags"":""Gore""},{""tags"":""Team-Based""},{""tags"":""First-Person""},{""tags"":""Moddable""},{""tags"":""Survival Horror""},{""tags"":""Great Soundtrack""},{""tags"":""Singleplayer""},{""tags"":""Class-Based""},{""tags"":""Difficult""},{""tags"":""Comedy""},{""tags"":""Adventure""}]"
"Fishing Planet: Spring Cats Pack","What’s the best season for fishing? All are good in their own way! Just a matter of where, how and what to go after. And now that spring is finally here...the hungry Cats will be coming out and stalking their prey after the long cold winter!","Released: 10 Mar, 2017","null","[{""tags"":""Free to Play""},{""tags"":""Massively Multiplayer""},{""tags"":""Simulation""},{""tags"":""Sports""}]"
"Soul Saber 2","Extreme high speed (rip off) teamwork action has arrived on Steam, in the form of a shooting game! As a Droid solider, fight through the 6 on 6 online/offline team battle, and achieve victory!","Released: 15 Mar, 2017","Overall user reviews:
			Mixed
						(53 reviews)","[{""tags"":""Nudity""},{""tags"":""Action""},{""tags"":""Indie""},{""tags"":""Sexual Content""},{""tags"":""Mature""},{""tags"":""Anime""}]"
"Total War: WARHAMMER - The Grim and the Grave","Total War: WARHAMMER – The Grim & The Grave The Grim & The Grave is the first Lords Pack for Total War: WARHAMMER. Bolstering the forces of both The Empire and The Vampire Counts, it introduces famous rival characters and new iconic units from the world of Warhammer Fantasy Battles to your...","Released: 1 Sep, 2016","Overall user reviews:
			Mostly Positive
						(511 reviews)","[{""tags"":""Strategy""},{""tags"":""Action""},{""tags"":""Fantasy""}]"
