title,description,release,summary,tags
"The Elder Scrolls V: Skyrim","EPIC FANTASY REBORN The next chapter in the highly anticipated Elder Scrolls saga arrives from the makers of the 2006 and 2008 Games of the Year, Bethesda Game Studios. Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to...","Released: 10 Nov, 2011","Overall user reviews:
			Very Positive
						(153,752 reviews)","[{""tags"":""Open World""},{""tags"":""RPG""},{""tags"":""Fantasy""},{""tags"":""Adventure""},{""tags"":""Moddable""},{""tags"":""Dragons""},{""tags"":""First-Person""},{""tags"":""Action""},{""tags"":""Medieval""},{""tags"":""Magic""},{""tags"":""Singleplayer""},{""tags"":""Story Rich""},{""tags"":""Great Soundtrack""},{""tags"":""Sandbox""},{""tags"":""Lore-Rich""},{""tags"":""Atmospheric""},{""tags"":""Character Customization""},{""tags"":""Action RPG""},{""tags"":""Third Person""},{""tags"":""Dark Fantasy""}]"
"Obduction","A new sci-fi adventure from Cyan, the creators of Myst. Abducted far across the universe, you find yourself on a broken alien landscape with odd pieces of Earth. Explore, uncover, solve, and find a way to make it home.","Released: 24 Aug, 2016","Overall user reviews:
			Very Positive
						(901 reviews)","[{""tags"":""Adventure""},{""tags"":""Exploration""},{""tags"":""Puzzle""},{""tags"":""First-Person""},{""tags"":""Mystery""},{""tags"":""Surreal""},{""tags"":""Indie""},{""tags"":""Walking Simulator""},{""tags"":""Casual""},{""tags"":""VR""},{""tags"":""Nonlinear""},{""tags"":""Open World""},{""tags"":""Atmospheric""},{""tags"":""Choices Matter""},{""tags"":""Story Rich""},{""tags"":""FMV""},{""tags"":""Singleplayer""},{""tags"":""Survival""}]"
"Assassin’s Creed® IV Black Flag™","The year is 1715. Pirates rule the Caribbean and have established their own lawless Republic where corruption, greediness and cruelty are commonplace.Among these outlaws is a brash young captain named Edward Kenway.","Released: 19 Nov, 2013","Overall user reviews:
			Very Positive
						(16,958 reviews)","[{""tags"":""Pirates""},{""tags"":""Open World""},{""tags"":""Action""},{""tags"":""Adventure""},{""tags"":""Assassin""},{""tags"":""Third Person""},{""tags"":""Stealth""},{""tags"":""Naval""},{""tags"":""Parkour""},{""tags"":""Multiplayer""},{""tags"":""Historical""},{""tags"":""Story Rich""},{""tags"":""Singleplayer""},{""tags"":""Exploration""},{""tags"":""Action-Adventure""},{""tags"":""Atmospheric""},{""tags"":""RPG""},{""tags"":""Mature""},{""tags"":""Sandbox""},{""tags"":""Action RPG""}]"
"Cities: Skylines - After Dark","Night time is fun time! After Dark is the first expansion to the hugely popular classic city simulation Cities: Skylines. The game expands on the repertoire of features and customizations designed to enhance the thrill as well as maintain the challenge of the city building experience.","Released: 24 Sep, 2015","Overall user reviews:
			Very Positive
						(406 reviews)","[{""tags"":""Simulation""},{""tags"":""Strategy""},{""tags"":""City Builder""}]"
"Brawlhalla - All Legends (Current and Future)","Brawlhalla is an epic platform fighter for up to 8 players online or locally. And it's free. Join casual free-for-alls, queue for ranked matches, or make a custom room with you friends. Millions of players. Frequent updates. Over twenty unique legends. Come fight for glory in the halls of Valhalla!","Released: 3 Nov, 2015","Overall user reviews:
			Positive
						(37 reviews)","[{""tags"":""Action""},{""tags"":""Indie""},{""tags"":""Multiplayer""},{""tags"":""2D Fighter""}]"
"Train Simulator","Ever dreamed of driving trains? Now you can! Train Simulator 2017 brings to life some amazing train challenges on real world routes and delivers the ultimate railway hobby.","Released: 17 Sep, 2015","Overall user reviews:
			Mixed
						(7,079 reviews)","[{""tags"":""Simulation""},{""tags"":""Trains""},{""tags"":""Singleplayer""},{""tags"":""Driving""},{""tags"":""Realistic""},{""tags"":""Casual""},{""tags"":""Relaxing""},{""tags"":""Open World""},{""tags"":""Building""},{""tags"":""Moddable""},{""tags"":""Sandbox""},{""tags"":""TrackIR""},{""tags"":""Atmospheric""},{""tags"":""Level Editor""},{""tags"":""Fishing""},{""tags"":""Action""},{""tags"":""City Builder""},{""tags"":""VR""},{""tags"":""Strategy""},{""tags"":""Massively Multiplayer""}]"
"NARUTO STORM 4 : Road to Boruto Expansion","In a completely New Hidden Leaf Village, enjoy the adventures of Boruto, Naruto's son! The next generation is underway!","Released: 2 Feb, 2017","Overall user reviews:
			Mostly Positive
						(209 reviews)","[{""tags"":""Action""},{""tags"":""Adventure""},{""tags"":""Anime""},{""tags"":""Fighting""}]"
"Algotica - Iteration 1","Algotica is an educational adventure-puzzle game about programming, along with a story that breaks the fourth wall. If you wanted to start learning programming but think that it too difficult to understand or just don't have enough time or not sure that you need it - this game is a good start point...","Released: 23 Mar, 2017","Overall user reviews:
			6 user reviews","[{""tags"":""Indie""},{""tags"":""Adventure""},{""tags"":""Programming""},{""tags"":""Puzzle""},{""tags"":""Education""},{""tags"":""Cute""}]"
"RPG Maker XP","RPG MAKER lets you create an original role-playing game without any prior specialized knowledge or training. RPG MAKER XP is full of the functions you've been asking for, including game data encryption and a scripting feature that lets you change the very heart of the RPG MAKER engine.","Released: 13 Dec, 2013","Overall user reviews:
			Very Positive
						(170 reviews)","[{""tags"":""Web Publishing""},{""tags"":""RPGMaker""},{""tags"":""Game Development""},{""tags"":""RPG""},{""tags"":""Anime""}]"
"Tom Clancy's The Division™ - Season Pass","Continue your Agent’s journey with major expansions, exclusive gear, and special benefits all at one great price with the Tom Clancy's The Division™ Season Pass. • Gain access to all 3 expansions over a full year • Unlock exclusive gear and day 1 customization options, including the Sawed-off...","Released: 7 Mar, 2016","Overall user reviews:
			Mixed
						(691 reviews)","[{""tags"":""Action""},{""tags"":""RPG""},{""tags"":""Adventure""}]"
"If My Heart Had Wings","If My Heart Had Wings is an animated visual novel that tells the tale of a refreshing yet bittersweet youth story. With elements of both romance and comedy, play as Aoi Minase as he meets female companions, working with them to revive the Soaring Club in order to realise their dream.","Released: 24 Nov, 2014","Overall user reviews:
			Very Positive
						(1,628 reviews)","[{""tags"":""Anime""},{""tags"":""Visual Novel""},{""tags"":""Dating Sim""},{""tags"":""Cute""},{""tags"":""Romance""},{""tags"":""Nudity""},{""tags"":""Singleplayer""},{""tags"":""Story Rich""},{""tags"":""Great Soundtrack""},{""tags"":""Mature""},{""tags"":""Simulation""},{""tags"":""Adventure""},{""tags"":""Casual""},{""tags"":""Atmospheric""},{""tags"":""Funny""},{""tags"":""Point & Click""},{""tags"":""Psychological Horror""}]"
"GameMaker Studio 2 Desktop","GameMaker Studio 2 is the latest and greatest incarnation of GameMaker! It has everything you need to take your idea from concept to finished game. With no barriers to entry and powerful functionality, GameMaker Studio 2 is the ultimate 2D development environment!","Released: 8 Mar, 2017","Overall user reviews:
			Positive
						(36 reviews)","[{""tags"":""Game Development""},{""tags"":""Design & Illustration""},{""tags"":""Utilities""},{""tags"":""Animation & Modeling""},{""tags"":""Education""},{""tags"":""Web Publishing""}]"
"The Sims 3: Island Paradise","New adventures await your Sims on the sunny shores and beneath the glistening water of an island paradise! From exploring the tropical isles to creating a five-star resort experience, your Sims can decide to embark on an unforgettable journey or make themselves a new home in this new utopia.","Released: 25 Jun, 2013","Overall user reviews:
			Mostly Negative
						(130 reviews)","[{""tags"":""Simulation""}]"
"Gremlins, Inc.","This is an intense strategy board game in a steampunk world of corrupt capitalist gremlins who compete for money, political power and prestige. Save and invest, steal and extort, arrest and get arrested – in single-player and multiplayer, with ranks and ladders, team mode and spectator mode.","Released: 10 Mar, 2016","Overall user reviews:
			Very Positive
						(1,377 reviews)","[{""tags"":""Board Game""},{""tags"":""Strategy""},{""tags"":""Indie""},{""tags"":""Steampunk""},{""tags"":""Turn-Based""},{""tags"":""Multiplayer""},{""tags"":""Card Game""},{""tags"":""Replay Value""},{""tags"":""Singleplayer""},{""tags"":""Turn-Based Strategy""},{""tags"":""Stylized""},{""tags"":""Atmospheric""},{""tags"":""2D""},{""tags"":""Fantasy""},{""tags"":""Politics""},{""tags"":""Great Soundtrack""},{""tags"":""Competitive""},{""tags"":""Soundtrack""}]"
"The Art of Fight | 4vs4 Fast-Paced FPS","The Art of Fight is the fastest-paced multiplayer shooter in VR.It uses a game-changing locomotion method that avoids motion sickness allowing unparalleled 4v4 competitive battles online or against configurable bots.","Released: 17 Feb, 2017","Overall user reviews:
			Very Positive
						(255 reviews)","[{""tags"":""Action""},{""tags"":""Indie""},{""tags"":""VR""},{""tags"":""FPS""},{""tags"":""Multiplayer""}]"
"Warframe: Ice Spring Pack","The Ice Spring Pack allows you to advance more quickly on Warframe with Platinum, Credits, Mod Cards, Movement upgrades and Boosters.","Released: Dec 21, 2016","Overall user reviews:
			Mostly Positive
						(16 reviews)","[{""tags"":""Violent""},{""tags"":""Action""},{""tags"":""Free to Play""}]"
"Battle Brothers","Battle Brothers is a turn based tactical RPG which has you leading a mercenary company in a gritty, low-power, medieval fantasy world. You decide where to go, whom to hire or to fight, what contracts to take and how to train and equip your men in a procedurally generated open world campaign.","Released: 27 Apr, 2015","Overall user reviews:
			Very Positive
						(1,768 reviews)","[{""tags"":""Early Access""},{""tags"":""Strategy""},{""tags"":""Turn-Based Combat""},{""tags"":""RPG""},{""tags"":""Medieval""},{""tags"":""Turn-Based""},{""tags"":""Indie""},{""tags"":""Open World""},{""tags"":""Turn-Based Tactics""},{""tags"":""Procedural Generation""},{""tags"":""Sandbox""},{""tags"":""CRPG""},{""tags"":""Tactical""},{""tags"":""Singleplayer""},{""tags"":""Difficult""},{""tags"":""Simulation""},{""tags"":""Perma Death""},{""tags"":""Fantasy""},{""tags"":""Replay Value""},{""tags"":""Great Soundtrack""}]"
"Stellaris","Explore a vast galaxy full of wonder! Paradox Development Studio, makers of the Crusader Kings and Europa Universalis series presents Stellaris, an evolution of the grand strategy genre with space exploration at its core.","Released: May 9, 2016","Overall user reviews:
			Very Positive
						(11,407 reviews)","[{""tags"":""Space""},{""tags"":""Strategy""},{""tags"":""Grand Strategy""},{""tags"":""Sci-fi""},{""tags"":""4X""},{""tags"":""Exploration""},{""tags"":""Multiplayer""},{""tags"":""Real-Time with Pause""},{""tags"":""Singleplayer""},{""tags"":""RTS""},{""tags"":""Simulation""},{""tags"":""Sandbox""},{""tags"":""Replay Value""},{""tags"":""Great Soundtrack""},{""tags"":""Moddable""},{""tags"":""Atmospheric""},{""tags"":""Open World""},{""tags"":""Story Rich""},{""tags"":""Building""},{""tags"":""Adventure""}]"
"Crysis 2 - Maximum Edition","Aliens are decimating New York City, only you have the technology to survive. Be The Weapon.","Released: Mar 22, 2011","Overall user reviews:
			Very Positive
						(3,637 reviews)","[{""tags"":""Action""},{""tags"":""FPS""},{""tags"":""Sci-fi""},{""tags"":""Shooter""},{""tags"":""Multiplayer""},{""tags"":""Stealth""},{""tags"":""Singleplayer""},{""tags"":""First-Person""},{""tags"":""Aliens""},{""tags"":""Futuristic""},{""tags"":""Benchmark""},{""tags"":""Great Soundtrack""},{""tags"":""Adventure""},{""tags"":""Atmospheric""},{""tags"":""Story Rich""},{""tags"":""Cyberpunk""},{""tags"":""3D Vision""},{""tags"":""Open World""},{""tags"":""Survival""},{""tags"":""RPG""}]"
"No Man's Sky","No Man's Sky is a game about exploration and survival in an infinite procedurally generated universe.","Released: Aug 12, 2016","Overall user reviews:
			Mostly Negative
						(72,652 reviews)","[{""tags"":""Open World""},{""tags"":""Space""},{""tags"":""Exploration""},{""tags"":""Sci-fi""},{""tags"":""First-Person""},{""tags"":""Procedural Generation""},{""tags"":""Adventure""},{""tags"":""Singleplayer""},{""tags"":""Survival""},{""tags"":""Sandbox""},{""tags"":""Atmospheric""},{""tags"":""Space Sim""},{""tags"":""Indie""},{""tags"":""Crafting""},{""tags"":""Action""},{""tags"":""Simulation""},{""tags"":""FPS""},{""tags"":""Illuminati""},{""tags"":""Psychological Horror""},{""tags"":""Great Soundtrack""}]"
"Sovereignty: Crown of Kings","Assume the leadership of one of the lands of Sovereignty and guide your people to glory and prosperity. By wisely combining soft and hard power, you can eventually hope to reign over the whole land.","Released: 2 Feb, 2017","Overall user reviews:
			Mixed
						(156 reviews)","[{""tags"":""Strategy""},{""tags"":""Turn-Based""},{""tags"":""Simulation""},{""tags"":""Singleplayer""},{""tags"":""Grand Strategy""},{""tags"":""Fantasy""},{""tags"":""Replay Value""}]"
"Dungeon Defenders II - Year One Hero Pack","Unlock all six heroes that were released in 2016!","Released: 23 Nov, 2016","Overall user reviews:
			1 user reviews","[{""tags"":""Strategy""},{""tags"":""Action""},{""tags"":""RPG""},{""tags"":""Indie""},{""tags"":""Free to Play""}]"
"Marmoset Toolbag 3","Marmoset Toolbag™ is a powerful real-time rendering suite bundled in a tidy package. From pre-production to post-production, Toolbag is an essential tool for every 3D artist throughout their development pipeline.","Released: 25 Nov, 2016","Overall user reviews:
			Positive
						(14 reviews)","[{""tags"":""Animation & Modeling""},{""tags"":""Design & Illustration""},{""tags"":""Utilities""}]"
"null","null","null","null","[]"
"Lobotomy Corporation | Monster Management Simulation","Monster Management Rogue-Lite Simulation game inspired by the monsters from game and movies such as SCP Foundation, Cabin in the woods and Warehouse 13. One disaster will cause another, and it will lead everything into chaos. Manage and Survive.","Released: 16 Dec, 2016","Overall user reviews:
			Very Positive
						(281 reviews)","[{""tags"":""Early Access""},{""tags"":""Indie""},{""tags"":""Simulation""},{""tags"":""Horror""},{""tags"":""Gore""},{""tags"":""Management""},{""tags"":""Great Soundtrack""},{""tags"":""Rogue-like""}]"
"Assetto Corsa - Red Pack","KUNOS Simulazioni and 505 Games are proud to present the ""RED PACK"", the DLC package for ASSETTO CORSA that includes seven legendary Italian sports cars and Austria’s RedBull Ring circuit.","Released: 14 Jul, 2016","Overall user reviews:
			Very Positive
						(137 reviews)","[{""tags"":""Simulation""},{""tags"":""Racing""},{""tags"":""Sports""},{""tags"":""Indie""}]"
"Need For Speed: Hot Pursuit","Become Seacrest County's top cop or most wanted racer!","Released: 14 Dec, 2010","Overall user reviews:
			Very Positive
						(7,479 reviews)","[{""tags"":""Racing""},{""tags"":""Multiplayer""},{""tags"":""Driving""},{""tags"":""Open World""},{""tags"":""Action""},{""tags"":""Singleplayer""},{""tags"":""Arcade""},{""tags"":""Great Soundtrack""},{""tags"":""Simulation""},{""tags"":""Controller""},{""tags"":""Co-op""},{""tags"":""Remake""},{""tags"":""Atmospheric""},{""tags"":""Massively Multiplayer""},{""tags"":""Adventure""},{""tags"":""Funny""}]"
"Crusader Kings II: Monks and Mystics","In Monks and Mystics, your characters can follow new paths in their search for religious enlightenment and holy blessing, joining sacred societies or secret brotherhoods that open new opportunities for role-playing and story-telling in one of the most popular historical strategy games ever made.","Released: 7 Mar, 2017","Overall user reviews:
			Mostly Positive
						(204 reviews)","[{""tags"":""Strategy""},{""tags"":""Simulation""}]"
"Sniper Ghost Warrior 3 Season Pass Edition","Go behind enemy lines with the ultimate modern military shooter. Play as an American sniper dropped in Georgia, near Russian border. Choose your own path to accomplish your missions across an unforgiving open world.","Available: 25 Apr, 2017","null","[{""tags"":""Action""},{""tags"":""Sniper""},{""tags"":""Stealth""},{""tags"":""Open World""},{""tags"":""Shooter""},{""tags"":""FPS""},{""tags"":""Multiplayer""},{""tags"":""First-Person""},{""tags"":""Singleplayer""},{""tags"":""Co-op""}]"
"Golf With Your Friends","Golf With Your Friends is a challenging, multiplayer mini golf game for up to 12 players.","Released: 29 Jan, 2016","Overall user reviews:
			Very Positive
						(6,366 reviews)","[{""tags"":""Early Access""},{""tags"":""Mini Golf""},{""tags"":""Multiplayer""},{""tags"":""Golf""},{""tags"":""Sports""},{""tags"":""Casual""},{""tags"":""Family Friendly""},{""tags"":""Indie""},{""tags"":""Funny""},{""tags"":""Co-op""},{""tags"":""Great Soundtrack""},{""tags"":""Singleplayer""},{""tags"":""Strategy""},{""tags"":""Simulation""},{""tags"":""Physics""},{""tags"":""Difficult""},{""tags"":""Illuminati""},{""tags"":""Action""},{""tags"":""Memes""},{""tags"":""Massively Multiplayer""}]"
"Shadow Tactics: Blades of the Shogun","Shadow Tactics is a hardcore tactical stealth game set in Japan around the Edo period. A new Shogun seizes power over Japan and enforces nationwide peace. In his battle against conspiracy and rebellion, he recruits five specialists with extraordinary skills for assassination, sabotage and espionage.","Released: Dec 6, 2016","Overall user reviews:
			Overwhelmingly Positive
						(1,978 reviews)","[{""tags"":""Stealth""},{""tags"":""Tactical""},{""tags"":""Ninja""},{""tags"":""Strategy""},{""tags"":""Real Time Tactics""},{""tags"":""Indie""},{""tags"":""Historical""},{""tags"":""Action""},{""tags"":""Singleplayer""},{""tags"":""Isometric""},{""tags"":""RTS""},{""tags"":""Violent""},{""tags"":""Difficult""},{""tags"":""Atmospheric""}]"
"PAYDAY 2: Scarface Character Pack","The World...And Everything In ItThe Scarface™ Character Pack is the 11th character pack for PAYDAY 2. Step into the shoes of the legendary gangster Scarface™. The Scarface™ Character Pack also includes Little Friend 7.62 Signature Weapon, Lumber Lite L2 Chainsaw and the Kingpin Perk Deck!","Released: 15 Dec, 2016","Overall user reviews:
			Very Positive
						(226 reviews)","[{""tags"":""Action""},{""tags"":""Violent""},{""tags"":""RPG""}]"
"American Truck Simulator","Experience legendary American trucks and deliver various cargoes across sunny California, sandy Nevada, and the Grand Canyon State of Arizona. American Truck Simulator takes you on a journey through the breathtaking landscapes and widely recognized landmarks around the States.","Released: 2 Feb, 2016","Overall user reviews:
			Very Positive
						(10,297 reviews)","[{""tags"":""Simulation""},{""tags"":""Driving""},{""tags"":""Open World""},{""tags"":""America""},{""tags"":""Realistic""},{""tags"":""Multiplayer""},{""tags"":""Singleplayer""},{""tags"":""Relaxing""},{""tags"":""Moddable""},{""tags"":""First-Person""},{""tags"":""Exploration""},{""tags"":""Atmospheric""},{""tags"":""Economy""},{""tags"":""Adventure""},{""tags"":""Indie""},{""tags"":""Casual""},{""tags"":""Family Friendly""},{""tags"":""Third Person""},{""tags"":""Management""},{""tags"":""Action""}]"
"Syberia 3","The next generation in adventure games, Syberia 3 takes you inside an enchanting, mysterious universe full of life for you to explore in 3D. Plunged into the heart of a world inhabited by a cast of interesting characters, you'll discover and experience a fabulous tale as imagined by Benoit Sokal.","Available: 1 Dec, 2016","null","[{""tags"":""Adventure""},{""tags"":""Female Protagonist""},{""tags"":""Puzzle""},{""tags"":""Story Rich""},{""tags"":""Atmospheric""},{""tags"":""Point & Click""},{""tags"":""Great Soundtrack""},{""tags"":""Steampunk""},{""tags"":""Singleplayer""},{""tags"":""Controller""},{""tags"":""Hidden Object""}]"
"Rome: Total War™ - Collection","Control and conquer the greatest empire ever known to man.","Released: 28 Aug, 2007","Overall user reviews:
			Very Positive
						(4,800 reviews)","[{""tags"":""Strategy""},{""tags"":""Historical""},{""tags"":""Rome""},{""tags"":""Turn-Based Strategy""},{""tags"":""Grand Strategy""},{""tags"":""RTS""},{""tags"":""Classic""},{""tags"":""Tactical""},{""tags"":""Multiplayer""},{""tags"":""Great Soundtrack""},{""tags"":""Turn-Based""},{""tags"":""Singleplayer""},{""tags"":""War""},{""tags"":""Moddable""},{""tags"":""Real Time Tactics""},{""tags"":""Action""},{""tags"":""Atmospheric""},{""tags"":""4X""},{""tags"":""Simulation""},{""tags"":""Medieval""}]"
"Democracy 3","Have you ever wanted to be president? or prime-minister? Convinced you could do a better job of running the country? Let's face it, you could hardly do a worse job than our current political leaders.Crime, Unemployment, National Debt, Terrorism, Climate Change...","Released: 14 Oct, 2013","Overall user reviews:
			Mostly Positive
						(4,186 reviews)","[{""tags"":""Simulation""},{""tags"":""Politics""},{""tags"":""Strategy""},{""tags"":""Indie""},{""tags"":""Turn-Based""},{""tags"":""Singleplayer""},{""tags"":""Political""},{""tags"":""Sandbox""},{""tags"":""Economy""},{""tags"":""Management""},{""tags"":""Moddable""},{""tags"":""Difficult""},{""tags"":""2D""},{""tags"":""Turn-Based Strategy""},{""tags"":""Casual""}]"
"LiEat","A world where dragons, born from the wishes of man, each have a unique power to match their human's desires. One mysterious stranger travels with a young dragon graced with the talent of seeing and eating lies. Together, they seek information for profit and knowledge.","Released: 25 Feb, 2016","Overall user reviews:
			Overwhelmingly Positive
						(1,246 reviews)","[{""tags"":""Anime""},{""tags"":""RPG""},{""tags"":""Indie""},{""tags"":""Cute""},{""tags"":""Pixel Graphics""},{""tags"":""Great Soundtrack""},{""tags"":""Story Rich""},{""tags"":""JRPG""},{""tags"":""Singleplayer""},{""tags"":""2D""},{""tags"":""Adventure""},{""tags"":""Female Protagonist""},{""tags"":""RPGMaker""},{""tags"":""Casual""},{""tags"":""Fantasy""},{""tags"":""Atmospheric""},{""tags"":""Turn-Based""},{""tags"":""Drama""},{""tags"":""Surreal""},{""tags"":""Controller""}]"
"TerraTech","TerraTech is the multi-award winning sandbox construction and combat game, where you design, build and command your very own fleet of unique land and airborne vehicles, as you explore alien worlds and gather precious resources on a quest for glory and profit.","Released: 6 Feb, 2015","Overall user reviews:
			Very Positive
						(2,264 reviews)","[{""tags"":""Early Access""},{""tags"":""Building""},{""tags"":""Sandbox""},{""tags"":""Open World""},{""tags"":""Robots""},{""tags"":""Action""},{""tags"":""Strategy""},{""tags"":""Crafting""},{""tags"":""Multiplayer""},{""tags"":""Singleplayer""},{""tags"":""Adventure""},{""tags"":""Survival""},{""tags"":""Exploration""},{""tags"":""Indie""},{""tags"":""Physics""},{""tags"":""Shooter""},{""tags"":""Third Person""},{""tags"":""Sci-fi""},{""tags"":""Simulation""},{""tags"":""Co-op""}]"
"Assassin’s Creed® IV Black Flag™ - Season Pass","The Assassin’s Creed® IV Black Flag™ Season Pass gives you access to the exclusive Kraken Ship pack, a new 3+ hour single player story featuring Adewale, an ex-slave turned Assassin, plus multiplayer characters and more.","Released: 19 Nov, 2013","Overall user reviews:
			Mixed
						(17 reviews)","[{""tags"":""Action""},{""tags"":""Adventure""}]"
"BattleBlock Theater®","Welcome to BattleBlock Theater! You’ve got no where to go but up...on stage. Play single player or co-op to free your friends and save Hatty Hattington! Jump, solve and battle your way through a mysterious theater inhabited by highly technological felines.","Released: May 15, 2014","Overall user reviews:
			Overwhelmingly Positive
						(29,666 reviews)","[{""tags"":""Comedy""},{""tags"":""Co-op""},{""tags"":""Platformer""},{""tags"":""Funny""},{""tags"":""Multiplayer""},{""tags"":""Indie""},{""tags"":""Adventure""},{""tags"":""Local Co-Op""},{""tags"":""2D""},{""tags"":""Action""},{""tags"":""Great Soundtrack""},{""tags"":""Casual""},{""tags"":""Puzzle""},{""tags"":""Level Editor""},{""tags"":""Online Co-Op""},{""tags"":""Local Multiplayer""},{""tags"":""Singleplayer""},{""tags"":""Team-Based""},{""tags"":""Difficult""},{""tags"":""Sandbox""}]"
"RPG Maker MV - SAKAN","SAKAN is built to let you create tilesets ready to use in RPG Maker MV. Using the thousand more parts delivered with SAKAN, you can customizing the tileset delivered with MV, or build your own original one, all without having to any dot by dot paiting.","Released: 21 Mar, 2017","Overall user reviews:
			5 user reviews","[{""tags"":""Design & Illustration""},{""tags"":""Web Publishing""}]"
"Mount & Blade: Warband - Viking Conquest Reforged Edition","From the creators of the popular “Brytenwalda” mod, “Viking Conquest” is a brand new DLC for Mount & Blade Warband! This single and multi player DLC brings Mount & Blade to historical Dark Age Britain, complemented by authentic scenes and cultures.","Released: 11 Dec, 2014","Overall user reviews:
			Mixed
						(3,290 reviews)","[{""tags"":""RPG""},{""tags"":""Action""},{""tags"":""Strategy""},{""tags"":""Historical""},{""tags"":""Simulation""},{""tags"":""Naval""},{""tags"":""Sandbox""},{""tags"":""Open World""},{""tags"":""Medieval""},{""tags"":""Story Rich""},{""tags"":""Singleplayer""},{""tags"":""Multiplayer""},{""tags"":""Adventure""},{""tags"":""Indie""},{""tags"":""Third Person""},{""tags"":""First-Person""},{""tags"":""Action RPG""}]"
"Bus Simulator 16","Win the daily battle with the clock—become a bus driver! In Bus Simulator, you will take the controls of one of 6 true-to-life city buses, licensed by companies such as MAN, and drive your passengers through 5 realistic districts of a city.","Released: 2 Mar, 2016","Overall user reviews:
			Mixed
						(860 reviews)","[{""tags"":""Simulation""},{""tags"":""Driving""},{""tags"":""Open World""},{""tags"":""Multiplayer""},{""tags"":""Realistic""},{""tags"":""Management""},{""tags"":""Co-op""},{""tags"":""Online Co-Op""},{""tags"":""Singleplayer""},{""tags"":""Co-op Campaign""},{""tags"":""Physics""},{""tags"":""Adventure""},{""tags"":""Mod""}]"
"Ace of Seafood","In the seas of the distant future, humans have all but disappeared. In your current, newly awakened state, you are no more than a piece of seafood. But you have also been blessed with talent in leading your allies in battle. Do whatever it takes to become the Ace of Seafood.","Released: Apr 8, 2016","Overall user reviews:
			Very Positive
						(114 reviews)","[{""tags"":""Action""},{""tags"":""Indie""},{""tags"":""Underwater""},{""tags"":""Great Soundtrack""},{""tags"":""Open World""},{""tags"":""Third Person""},{""tags"":""Funny""},{""tags"":""Singleplayer""},{""tags"":""Memes""},{""tags"":""Fishing""},{""tags"":""Controller""},{""tags"":""Atmospheric""},{""tags"":""Shooter""},{""tags"":""Comedy""},{""tags"":""Exploration""},{""tags"":""Survival""},{""tags"":""Fantasy""},{""tags"":""Sci-fi""},{""tags"":""Spectacle fighter""},{""tags"":""Resource Management""}]"
"PAYDAY 2","PAYDAY 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original PAYDAY crew - Dallas, Hoxton, Wolf and Chains - as they descend on Washington DC for an epic crime spree.","Released: Aug 13, 2013","Overall user reviews:
			Very Positive
						(196,634 reviews)","[{""tags"":""Co-op""},{""tags"":""Action""},{""tags"":""FPS""},{""tags"":""Heist""},{""tags"":""Online Co-Op""},{""tags"":""Stealth""},{""tags"":""Multiplayer""},{""tags"":""Crime""},{""tags"":""Team-Based""},{""tags"":""Shooter""},{""tags"":""First-Person""},{""tags"":""Great Soundtrack""},{""tags"":""Gun Customization""},{""tags"":""Tactical""},{""tags"":""PvE""},{""tags"":""Strategy""},{""tags"":""Singleplayer""},{""tags"":""Simulation""},{""tags"":""Funny""},{""tags"":""Adventure""}]"
"Low Magic Age","Low Magic Age is a fantasy RPG that focused on turn-based party-based tactical combat. Field of View, Fog of War, Cover, Zone of Control, Charging and Flanking, various and abundant tactical elements are implemented in the game rules that evolved from Wizards of the Coast's Open Game License (OGL).","Released: 10 Jan, 2017","Overall user reviews:
			Very Positive
						(162 reviews)","[{""tags"":""Early Access""},{""tags"":""RPG""},{""tags"":""Adventure""},{""tags"":""Strategy""},{""tags"":""Indie""},{""tags"":""Casual""},{""tags"":""Turn-Based Combat""},{""tags"":""Tactical RPG""},{""tags"":""Turn-Based""},{""tags"":""Fantasy""},{""tags"":""Turn-Based Tactics""},{""tags"":""Tactical""},{""tags"":""Turn-Based Strategy""}]"
"Total War: ATTILA","Against a darkening background of famine, disease and war, a new power is rising in the great steppes of the East. With a million horsemen at his back, the ultimate warrior king approaches, and his sights are set on Rome… The next instalment in the multi award-winning PC series that combines...","Released: 17 Feb, 2015","Overall user reviews:
			Mostly Positive
						(8,227 reviews)","[{""tags"":""Strategy""},{""tags"":""Historical""},{""tags"":""War""},{""tags"":""Turn-Based Strategy""},{""tags"":""Grand Strategy""},{""tags"":""Tactical""},{""tags"":""RTS""},{""tags"":""Rome""},{""tags"":""Multiplayer""},{""tags"":""Singleplayer""},{""tags"":""Real Time Tactics""},{""tags"":""Medieval""},{""tags"":""Action""},{""tags"":""Atmospheric""},{""tags"":""Co-op""},{""tags"":""Turn-Based""},{""tags"":""Open World""},{""tags"":""Survival""},{""tags"":""Simulation""},{""tags"":""Adventure""}]"
